Group_name_size,Byte_size,Number of files,Number of pairs in similarity results,NO. of pairs with similarity score equals 1,NO. of pairs with 0.95 <= similarity score < 1,NO. of pairs with 0.9 <= similarity score < .95,NO. of pairs with 0.8 <= similarity score < .9
group_87558_size_2,87558,2,1,0,0,0,0
group_177876_size_2,177876,2,1,0,0,0,0
group_137314_size_3,137314,3,2,0,0,0,0
group_64920_size_2,64920,2,1,0,0,0,0
group_242642_size_397,242642,397,357,0,0,0,0
group_346494_size_2,346494,2,1,0,0,0,0
group_38710_size_3,38710,3,2,0,0,0,0
group_169134_size_4,169134,4,2,0,0,0,0
group_491058_size_3,491058,3,2,0,0,0,0
group_305084_size_514,305084,514,475,0,0,0,0
group_172994_size_2,172994,2,1,0,0,0,0
group_211832_size_2,211832,2,1,0,0,0,0
group_145558_size_2,145558,2,1,0,0,0,0
group_112322_size_5,112322,5,4,0,0,0,0
group_173354_size_2,173354,2,1,0,0,0,0
group_56358_size_6,56358,6,5,0,0,0,0
group_120062_size_2,120062,2,1,0,0,0,0
group_304086_size_168,304086,168,146,0,0,0,0
group_148658_size_223,148658,223,193,0,0,0,0
group_207526_size_2,207526,2,1,0,0,0,0
group_105250_size_6,105250,6,5,0,0,0,0
group_207186_size_348,207186,348,315,0,0,0,0
group_295090_size_305,295090,305,271,0,0,0,0
group_219858_size_367,219858,367,335,0,0,0,0
group_147044_size_4,147044,4,3,0,0,0,0
group_310994_size_386,310994,386,354,0,0,0,0
group_55470_size_2,55470,2,1,0,0,0,0
group_133164_size_2,133164,2,1,0,0,0,0
group_63558_size_29,63558,29,24,0,0,0,0
group_327794_size_287,327794,287,254,0,0,0,0
group_149236_size_6,149236,6,4,0,0,0,0
group_239574_size_5,239574,5,3,0,0,0,0
group_86974_size_4,86974,4,2,0,0,0,0
group_102850_size_2,102850,2,1,0,0,0,0
group_88584_size_4,88584,4,3,0,0,0,0
group_356878_size_3,356878,3,2,0,0,0,0
group_204840_size_3,204840,3,2,0,0,0,0
group_111332_size_2,111332,2,1,0,0,0,0
group_346482_size_227,346482,227,206,0,0,0,0
group_189288_size_5,189288,5,4,0,0,0,0
